,Palavra PT,Significado PT,Audio PT,Palavra Original,Significado Original,Audio Original,Lingua
,chope,cerveja fresca servida em barril sob pressão,shop0.mp3,schoppe,caneco de cerveja,shop1.mp3,Alemão
,chop-suey,"iguaria feita com legumes, acompanhados de tiras de carne de frango, porco ou peixe, servido com arroz",chopsuey0.mp3,shap sui ,"literalmente, miscelânea – iguaria feita com legumes, acompanhados de tiras de carne de frango, porco ou peixe, servido com arroz",chopsuey1.mp3,Chinês
,decasségui,"descendente de japonês emigrado para o Brasil que vai trabalhar por período temporário no Japão, muitas vezes em subempregos",decaceg0.mp3,dekassegui,trabalhador temporário,decaceg1.mp3,Japonês
,esfirra,"espécie de pastel de forno recheado com carne, queijo, verdura e temperos diversos",esfiha0.mp3,isfiha,"espécie de pastel de forno recheado com carne, queijo, verdura e temperos diversos",esfiha1.mp3,Árabe
,espaguete,pasta alimentar à base de trigo em forma de fios delgados,espageti0.mp3,spaghetti,pasta alimentar à base de trigo em forma de fios delgados,espageti1.mp3,Italiano
,galeto,frango novo que se prepara assado no espeto,galeto0.mp3,gallétto,galo pequeno,galeto1.mp3,Italiano
,grafite,desenhos feitos geralmente com spray de tinta em paredes e muros de uma cidade,grafiti0.mp3,graffitto,inscrição ou desenho feito sobre rochas ou paredes,grafiti1.mp3,Italiano
,jiu-jítsu,método de luta criado no Japão por volta do século XVI,giugtsu0.mp3,jujutsu,método de luta criado no Japão por volta do século XVI,giugtsu1.mp3,Japonês
,judô,sistema de luta corporal que constitui uma modalidade do antigo jiu-jítsu,judo0.mp3,judo,sistema de luta corporal que constitui uma modalidade do antigo jiu-jítsu,judo1.mp3,Japonês
,kosher,alimentos permitidos pela lei judaica,cocher0.mp3,kosher,alimentos permitidos pela lei judaica ortodoxa,cocher1.mp3,Iídiche
,macarrão,massa alimentícia de origem italiana,macarrao0.mp3,maccherone,massa ou pasta alimentícia de diversos tipos,macarrao1.mp3,Italiano
,máfia,qualquer associação ou organização que usa métodos inescrupulosos para controlar uma atividade,mafia0.mp3,mafia,organização criminosa de origem siciliana,mafia1.mp3,Italiano
,mascate,mercador ambulante,mascati0.mp3,Masqat,"cidade do mundo árabe, hoje capital de Omã, célebre por seus mercadores",mascati1.mp3,Árabe
,nissei,filho de pais japoneses nascido na América,nissei0.mp3,nisei,"literalmente, segunda geração; filho de pais japoneses nascido na América",nissei1.mp3,Japonês
,ópera,obra dramática musicada,opera0.mp3,opera,obra dramática musicada,opera1.mp3,Italiano
,palhaço,"ator cômico, especialmente de circo",palhaco0.mp3,pagliaccio,"ator cômico, especialmente de circo",palhaco1.mp3,Italiano
,panetone,"bolo de massa fermentada, com frutas cristalizadas e passas",panetone0.mp3,panettone,"bolo de massa fermentada, com frutas cristalizadas e passas",panetone1.mp3,Italiano
,pizza,"iguaria feita de massa de pão aplainada, coberta com queijo, tomate e outros ingredientes e cozida em forno",pizza0.mp3,pizza,"iguaria feita de massa de pão aplainada, coberta com queijo, tomate e outros ingredientes e cozida em forno",pizza1.mp3,Italiano
,polenta,pasta de fubá de milho cozida ou frita,polenta0.mp3,polenta,pasta de fubá de milho cozida ou frita,polenta1.mp3,Italiano
,quibe,"iguaria árabe que se faz com carne e trigo, condimentados com pimenta, hortelã, cebola, entre outros",kibe0.mp3,quibbat,"iguaria árabe que se faz com carne e trigo, condimentados com pimenta, hortelã, cebola, entre outros",kibe1.mp3,Árabe
,quinoa,"cereal rico em proteínas, fibras, e vitaminas, consumido há cerca de cinco mil anos no Peru e Bolívia",,quinoa,"cereal rico em proteínas, fibras, e vitaminas, consumido há cerca de cinco mil anos no Peru e Bolívia",,Espanhol
,regata,competição de barcos a vela ou a remo,regata0.mp3,regata,competição de barcos a vela ou a remo,regata1.mp3,Italiano
,saltenhas ,"massa ou pão recheado de carne, frango, ovos e temperos, tradicionalmente utilizado por pastores de rebanhos e viajantes",,salteña,"massa ou pão recheado de carne, frango, ovos e temperos, tradicionalmente utilizado por pastores de rebanhos e viajantes. O mesmo que empanada",,Espanhol
,samurai,membro da classe dos guerreiros na organização feudal do Japão,samurai0.mp3,samurai,membro da classe dos guerreiros na organização feudal do Japão,samurai1.mp3,Japonês
,saquê,"bebida típica japonesa, obtida de arroz fermentado",sake0.mp3,sake,licor feito de arroz,sake1.mp3,Japonês
,serenata,"apresentação musical que se faz ou se manda fazer à noite, próximo a casa da amada",serenata0.mp3,serenata,"seresta; apresentação musical que se faz ou se manda fazer à noite, próximo a casa da amada",serenata1.mp3,Italiano
,strudel,"pastelão comprido e enrolado, feito de massa folhada, recheado e assado",strudel0.mp3,strudel,"pastelão comprido e enrolado, feito de massa folhada, recheado e assado",strudel1.mp3,Alemão
,sushi,bolinho de arroz envolvido em folha de alga e ornado com fatias de peixe cru,sushi,sushi,bolinho de arroz envolvido em folha de alga e ornado com fatias de peixe cru,sushistrudel1.mp3,Japonês
,tai chi chuan,sistema chinês de exercícios de relaxamento e meditação,taishishuan0.mp3,taijiquan,sistema chinês de exercícios de relaxamento e meditação,taishishuan1.mp3,Chinês
,taekwondo,técnica milenar coreana de combate sem armas para defesa pessoal influenciada por artes marciais chinesas e japonesas,,taekwondo,técnica milenar coreana de combate sem armas para defesa pessoal influenciada por artes marciais chinesas e japonesas,,Chinês
,tchau,até logo; até a vista,tchau0.mp3,ciao,forma de cumprimento entre os italianos,tchau1.mp3,Italiano
,xote,"dança de salão semelhante ao forró, executada ao som de sanfonas, especialmente no Nordeste",xote0.mp3,Schottisch,polca escocesa parecida com a dança de roda,xote1.mp3,Alemão
